"","title..1.","phone","addre"
"169","南崁南竹店","03-222-5151","桃園市蘆竹區南竹路一段41號"
"170","桃園南崁店","03-212-6633","桃園市蘆竹區南崁路316號"
"171","觀音新坡店","03-282-4888","桃園市觀音區新華路二段617號"
"172","竹北博愛店","03-656-0999","新竹縣竹北市中正東路219號"
"173","竹北光明店","03-552-8977","新竹縣竹北市光明三路35號"
"174","竹北福興店","03-667-0988","新竹縣竹北市福興東路一段302號"
"175","竹北福興店","03-667-0988","新竹縣竹北市福興東路一段302號"
"176","竹東長春店","03-511-1429","新竹縣竹東鎮長春路3段227號"
"177","湖口中華店","03-598-0085","新竹縣湖口鄉中華路24號"
"178","湖口忠孝店","03-599-1085","新竹縣湖口鄉忠孝路17號"
"179","新豐建興店","03-557-5899","新竹縣新豐鄉建興路一段146-6號"
"180","關西正義店","03-587-5899","新竹縣關西鎮明德路108號"
"181","新竹中正店","03-542-4393","新竹市北區經國路二段102號"
"182","新竹光復店","03-577-5185","新竹市東區光復路一段523-1號"
"183","新竹食品店","03-573-5685","新竹市東區東南街197號"
"184","新竹中山店","03-539-8018","新竹市香山區中山路550號1樓"
"185","新竹中華店","03-538-8815","新竹市香山區中華路4段568號"
"186","竹南光復店","037-484-765","苗栗縣竹南鎮光復路172號"
"187","竹南龍山店","(037)551-162","苗栗縣竹南鎮龍昇街2號"
"188","苑裡中山店","037-864-985","苗栗縣苑裡鎮中山路116號"
"189","苗栗中正店","037-334-777","苗栗縣苗栗市中正路905號"
"190","苗栗府東店","(037)373-511","苗栗縣苗栗市府東路91號"
"191","苗栗為公店","037-271-222","苗栗縣苗栗市為公路309號"
"192","頭份中央店","037-690-869","苗栗縣頭份鎮中央路400號"
"193","頭份中正店","037-696-536","苗栗縣頭份鎮中正路76號"
"194","台中大甲店","04-2688-8333","台中市大甲區光明路84號"
"195","台中大肚店","04-2698-1185","台中市大肚區沙田路2段774號"
"196","大里中興店","04-2486-5285","台中市大里區中興路2段315號"
"197","大里草湖店","04-2496-9558","台中市大里區中興路一段105號"
"198","大里永隆店","04-2406-1516","台中市大里區永隆路455號"
"199","大里成功店","04-2495-2688","台中市大里區向學一路147號"
"200","大里國光店","04-2418-0765","台中市大里區國光路二段219-1號"
"201","大里新仁店","04-2276-8822","台中市大里區新仁路一段215-1號"
"202","大雅學府店","04-2569-4888","台中市大雅區學府路382號一樓"
"203","台中自由店","04-2223-1177","台中市中區成功路152號"
"204","太平中山店","04-2392-4466","台中市太平區中山路4段174號"
"205","太平坪林店","04-2275-2185","台中市太平區中山路三段3號"
"206","太平太平店","04-2276-1585","台中市太平區太平路527號"
"207","台中水湳店","04-2299-4799","台中市北屯區中清路2段165號"
"208","台中太原店","04-2236-1885","台中市北屯區太原路三段516-1號"
"209","台中昌平店","04-2247-2829","台中市北屯區昌平路一段454號"
"210","台中東山店","04-2437-8485","台中市北屯區東山路一段156-10號"
"211","台中崇德店","04-2236-5678","台中市北屯區崇德路2段1號"
"212","台中一中店","04-2223-9977","台中市北區太平路2號"
"213","台中北平店","04-2299-0108 / 2298-6688","台中市北區北平路2段78號"
"214","台中健行店","04-2207-9200","台中市北區健行路480號"
"215","后里甲后店","04-25582285","台中市后里區甲后路378號"
"216","台中友達店","0956-551-857","台中市西屯區中科路1號"
"217","台中惠中店","04-2312-7005","台中市西屯區台灣大道三段182號"
"218","台中榮總店","04-2358-8528","台中市西屯區台灣大道四段1650號(第二醫療大樓B1)"
"219","台中西屯店","04-2462-6285","台中市西屯區西屯路3段148-43號"
"220","台中中科店","04-2461-1285","台中市西屯區西屯路3段283號"
"221","台中河南店","04-2706-5595","台中市西屯區河南路二段282號"
"222","台中青海店","04-2317-9105","台中市西屯區青海路一段172號"
"223","台中漢口店","04-2315-0989","台中市西屯區漢口路二段219號"
"224","逢甲黎明店","04-2452-9891","台中市西屯區黎明路三段341號1樓"
"225","台中五權店","04-2378-5085","台中市西區五權路1-201號1樓"
"226","台中公益店","04-2319-5311","台中市西區公益路282號"
"227","台中醫院店","04-2225-1393","台中市西區民權路103號"
"228","台中沙鹿店","04-2663-3355","台中市沙鹿區中山路429號"
"229","沙鹿英才店","04-26310115","台中市沙鹿區英才路12號"
"230","台中樂業店","04-2213-5248　","台中市東區樂業路450號"
"231","台中東勢店","04-2588-5511","台中市東勢區豐勢路334號"
"232","台中大業店","04-2252-1771","台中市南屯區大業路606號"
"233","台中大墩店","04-2472-8985","台中市南屯區五權西路2段191號"
"234","台中黎明店","04-2382-1288","台中市南屯區黎明路一段1130號"
"235","台中嶺東店","04-2380-8889","台中市南屯區嶺東路680號"
"236","台中美村店","04-22633628","台中市南區美村路二段184號"
"237","台中高工店","04-2261-7799","台中市南區高工路399號"
"238","台中復興店","04-2227-1488","台中市南區復興路三段388號"
"239","烏日明道店","04-2338-6850","台中市烏日區中山路一段321號"
"240","烏日中山店","04-2338-5285","台中市烏日區中山路二段154號"
"241","梧棲文化店","04-2658-0606","台中市梧棲區文化路2段138號"
"242","台中清水店","04-2623-3885","台中市清水區中山路339號"
"243","新社興安店","04-2581-9997","台中市新社區興安路22號"
"244","潭子中山店","04-2535-2185","台中市潭子區中山路一段298-21號"
"245","台中潭子店","04-2533-4085","台中市潭子區勝利路219號"
"246","台中東海店","04-2633-5885","台中市龍井區新興路7巷2-1號"
"247","豐原廟東店","04-2528-5885","台中市豐原區三豐路17號"
"248","豐原中正店","04-2525-6600","台中市豐原區中正路731號"
"249","豐原中興店","04-2515-4573","台中市豐原區中興路242-3號"
"250","豐原南陽店","04-2522-0156","台中市豐原區南陽路436號"
"251","霧峰中正店","04-2332-6600","台中市霧峰區中正路914號"
"252","霧峰吉峰店","04-2330-6993","台中市霧峰區吉峰路100號"
"253","彰化二林店","04-896-7283","彰化縣二林鎮大成路一段537號"
"254","大村山腳店","04-853-5557","彰化縣大村鄉山腳路86號"
"255","北斗中華店","04-888-6085","彰化縣北斗鎮中華路123號"
"256","彰化永靖店","04-823-6785","彰化縣永靖鄉中山路一段805號"
"257","彰化田中店","04-874-6299","彰化縣田中鎮斗中路一段108號"
"258","彰化秀水店","04-768-3085","彰化縣秀水鄉彰水路1段117號"
"259","彰化和美店","04-757-6085","彰化縣和美鎮鹿和路6段289號"
"260","彰化彰美店","04-756-0085","彰化縣和美鎮彰美路6段120號"
"261","彰化社頭店","04-872-8585","彰化縣社頭鄉清水岩路400號"
"262","彰化花壇店","04-788-3301","彰化縣花壇鄉中山路一段373號"
"263","員林大同店","04-839-0185","彰化縣員林鎮大同路一段205號"
"264","員林萬年店","04-839-9085","彰化縣員林鎮新興街22號"
"265","員林靜修店","04-839-3085","彰化縣員林鎮靜修路57號"
"266","彰化埔心店","048-296-380","彰化縣埔心鄉東門村中正路一段296號"
"267","鹿港中正店","04-776-5485","彰化縣鹿港鎮中正路299號"
"268","鹿港民族店","04-776-7885","彰化縣鹿港鎮民族路153號"
"269","彰濱秀傳店","04-781-2685 / 781-3888 轉 71185","彰化縣鹿港鎮鹿工路6號"
"270","溪湖平和店","04-881-8688","彰化縣溪湖鎮平和街153號"
"271","彰化師大店","04-726-1585","彰化縣彰化市中山路三段220號"
"272","彰化中正店","04-723-4886","彰化縣彰化市中正路二段679號"
"273","彰化中民店","04-720-1185","彰化縣彰化市中民街93號"
"274","彰化彰基店","04-727-6080","彰化縣彰化市旭光路331號"
"275","彰化自強店","04-736-3385","彰化縣彰化市自強路27號"
"276","彰化和平店","04-729-6767","彰化縣彰化市和平路30號"
"277","彰化金馬店","04-761-1663","彰化縣彰化市金馬路三段784號"
"278","土庫建國店","05-662-1234","雲林縣土庫鎮仁和街2-2號"
"279","斗六民生南店","05-537-2828","雲林縣斗六市民生南路226號"
"280","斗六西平店","05-537-7085","雲林縣斗六市西平路187號"
"281","斗六莊敬店","05-535-3785","雲林縣斗六市莊敬路27號"
"282","斗南延平店","05-597-8538","雲林縣斗南鎮延平路二段536號"
"283","雲林北港店","05-773-0668","雲林縣北港鎮大同路129號"
"284","西螺中山店","05-587-5858","雲林縣西螺鎮中山路99-1號"
"285","雲林虎尾店","05-6362122","雲林縣虎尾鎮林森路一段430號"
"286","雲林麥寮店","05-693-5115","雲林縣麥寮鄉中興路23號"
"287","南投水里店","049-287-1085","南投縣水里鄉中山路1段532號"
"288","名間彰南店","049-273-5885","南投縣名間鄉彰南路23-3號"
"289","南投竹山店","049-263-6385","南投縣竹山鎮雲林路1-9號"
"290","南投大同店","049-220-0052","南投縣南投市大同南街109號"
"291","南投中興店","049-239-0885","南投縣南投市中學西路96號"
"292","埔里中山店","049-298-5222","南投縣埔里鎮中山路三段224號"
"293","埔里中正店","049-298-2333","南投縣埔里鎮中正路275-2號"
"294","埔里中正店","049-298-2333","南投縣埔里鎮中正路275-2號"
"295","草屯中山店","049-232-8123","南投縣草屯鎮碧山路159-1號"
"296","日月潭水社店","049-285-5800","南投縣魚池鄉水社村中山路163號"
"297","嘉義大林店","05-264-8550","嘉義縣大林鎮中山路237號"
"298","嘉義中埔店","05-230-9885","嘉義縣中埔鄉中華路792-794號"
"299","嘉義水上店","05-268-9676","嘉義縣水上鄉中山路2段402號"
"300","嘉義民雄店","05-226-8053","嘉義縣民雄鄉中樂路87號"
"301","嘉義朴子店","05-370-8585","嘉義縣朴子市大同路169號"
"302","新港奉天店","05-374-8585","嘉義縣新港鄉中山路85-5號"
"303","嘉義仁愛店","05-223-9025","嘉義市西區仁愛路532-1號"
"304","嘉義友愛店","05-233-1588","嘉義市西區友愛路246號"
"305","嘉義興業店","05-2361215","嘉義市西區興業西路268號"
"306","嘉義中山店","05-271-0885","嘉義市東區中山路111號"
"307","嘉義民族店","05-227-9898","嘉義市東區光華路2號"
"308","嘉義彌陀店","05-277-0607","嘉義市東區彌陀路120號"
"309","台南成功店","06-350-4567","台南市中西區成功路515號"
"310","仁德中正店","06-249-5678","台南市仁德區中正路2段1152號"
"311","台南北門店","06-222-0855","台南市北區北門路二段59號"
"312","台南小北店","06-281-7707","台南市北區西門路4段277號"
"313","永康中華店","06-302-2720","台南市永康區大橋里中華路826號"
"314","永康崑山店","06-205-5193","台南市永康區大灣路802號"
"315","永康崑山店","06-205-5193","台南市永康區大灣路802號"
"316","永康小東店","06-313-2289","台南市永康區小東路679號"
"317","永康南科店","06-243-7885","台南市永康區中正北路58號"
"318","永康永明店","06-201-6222","台南市永康區永明街88號"
"319","台南北安店","06-247-6667","台南市安南區北安路二段660號"
"320","台南安和店","06-356-8580","台南市安南區安和路二段282號"
"321","台南安南店","06-258-8567","台南市安南區海佃路一段336號"
"322","台南佳里店","06-723-3027","台南市佳里區延平路212號"
"323","台南中華東店","06-289-7188","台南市東區中華東路三段229號"
"324","台南東門店","06-290-8222","台南市東區東門路三段180-182號"
"325","台南健康店","06-223-0238","台南市南區健康路2段222號"
"326","台南柳營店","06-622-6337","台南市柳營區中山西路1段1號"
"327","麻豆中華店","06-572-6788","台南市麻豆區中華街16號"
"328","善化中山店","06-583-6215","台南市善化區中山路217號"
"329","台南新化店","06-597-0220","台南市新化區忠孝路10號"
"330","南科聯研店","06-505-3107","台南市新市區南科二路18號"
"331","台南新市店","06-599-1681","台南市新市區復興路5號"
"332","台南新市店","06-599-1681","台南市新市區復興路5號"
"333","南科群創店","06-505-0588","台南市新市區環西路一段3號"
"334","新營民權店","06-637-9985","台南市新營區民權路71號"
"335","台南歸仁店","06-330-7700","台南市歸仁區中山路二段179號"
"336","台南關廟店","06-5962-555","台南市關廟區中正路969號"
"337","高雄仁武店","07-375-9876","高雄市仁武區中華路243號"
"338","高雄富國店","07-5561689","高雄市左營區富國路238號"
"339","高雄岡山店","07-621-4143","高雄市岡山區公園東路22-6號"
"340","高雄林園店","07-643-5353","高雄市林園區林園北路501號1F"
"341","高雄七賢店","07-211-8200","高雄市前金區七賢二路235號"
"342","高雄五福店","07-281-5668","高雄市新興區五福二路123號"
"343","高雄右昌店","07-360-0100","高雄市楠梓區德民路903號"
"344","路竹忠孝店","07-696-8753","高雄市路竹區中山路935號"
"345","高雄旗山店","07-662-7722","高雄市旗山區華中街7號"
"346","鳳山中山店","07-746-0711","高雄市鳳山區中山西路306號"
"347","鳳山五甲店","07-831-0330","高雄市鳳山區五甲二路493號"
"348","鳳山文濱店","07-777-5449","高雄市鳳山區文濱路143號"
"349","屏東內埔店","08-779-5678","屏東縣內埔鄉廣濟路317號"
"350","屏東枋寮店","08-878-8985","屏東縣枋寮鄉中興路22號"
"351","屏東中正店","08-738-1288","屏東縣屏東市中正路393號"
"352","屏東仁愛店","08-732-5688","屏東縣屏東市仁愛路88號"
"353","屏東麟洛店","08-721-7615","屏東縣屏東市民生路2-57號"
"354","屏東和平店","08-752-2888","屏東縣屏東市建國路123號"
"355","屏東恆春店","08-889-8558","屏東縣恆春鎮西門路107-2號"
"356","屏東萬丹店","08-777-0853","屏東縣萬丹鄉萬全村萬丹路一段293號"
"357","宜蘭五結店","03-950-1880","宜蘭縣五結鄉五結路三段1號"
"358","宜蘭冬山店","03-959-5385","宜蘭縣冬山鄉冬山路一段760號"
"359","宜蘭新月店","03-935-8222","宜蘭縣宜蘭市神農路二段113號"
"360","宜蘭站前店","03-935-8585","宜蘭縣宜蘭市康樂路2號"
"361","宜蘭復興店","03-935-9935","宜蘭縣宜蘭市復興路一段92號"
"362","頭城青雲店","03-977-2684","宜蘭縣頭城鎮青雲路三段128號"
"363","宜蘭礁溪店","03-987-5885","宜蘭縣礁溪鄉德陽路12號"
"364","羅東站前店","03-955-3002","宜蘭縣羅東鎮公正路78號"
"365","羅東民權店","03-954-4868","宜蘭縣羅東鎮民權路138號"
"366","花蓮中山店","03-832-3859","花蓮縣花蓮市中山路551號"
"367","花蓮中正店","03-834-3000","花蓮縣花蓮市中正路588號"
"368","花蓮和平店","03-832-5178","花蓮縣花蓮市和平路460號"
"369","台東中華店","089-360-033","台東縣臺東市中華路一段401號"
"370","暫無門市","<U+00A0>","<U+00A0>"
"371","金門民族店","082-373-168","金門縣金城鎮民族路252號"
"372","金門山外店","082-332-977","金門縣金湖鎮太湖路武德新莊5號"
"373","暫無門市","<U+00A0>","<U+00A0>"
